AllStar,Year,Player,PER,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,SsnScr,SsnScr_norm,PosGrp,Percentile
False,2018,Kyle Collinsworth,10.0,-0.1,0.5,0.5,0.046,-4.0,2.2,-1.8,0.0,0.18324356455598717,0.3083002218971998,FrontCourt,0.74
False,2018,Darren Collison,18.8,5.8,1.8,7.6,0.18100000000000002,3.1,-1.0,2.2,2.1,0.3522186933865889,0.592594351624553,BackCourt,0.1958333333333333
False,2018,Nick Collison,13.2,0.1,0.0,0.1,0.064,-3.5,-2.9,-6.5,-0.1,0.16435675985979464,0.2765239022601401,FrontCourt,0.8
False,2018,Mike Conley,15.4,0.4,0.2,0.6,0.077,1.2,-3.5,-2.3,0.0,0.1850758304803457,0.3113829385668039,BackCourt,0.7041666666666666
False,2018,Pat Connaughton,9.3,1.2,1.3,2.5,0.08,-0.9,-0.4,-1.3,0.3,0.27996829464457096,0.4710358455002106,BackCourt,0.43333333333333335
False,2018,Quinn Cook,12.8,1.1,0.4,1.6,0.10099999999999999,0.6,-2.8,-2.2,0.0,0.21790555442271708,0.3666176814664077,BackCourt,0.5958333333333333
False,2018,Charles Cooke,-5.1,-0.2,0.0,-0.2,-0.239,-10.8,-3.8,-14.6,-0.1,0.0946211003811643,0.15919634784640535,BackCourt,0.975
False,2018,Jack Cooley,19.7,0.3,0.0,0.3,0.182,0.9,-2.5,-1.6,0.0,0.15479699763162258,0.2604399714363134,FrontCourt,0.8466666666666667
False,2018,Matt Costello,9.7,0.0,0.1,0.1,0.127,-5.0,6.6,1.6,0.0,0.12492164669824375,0.2101758470489969,FrontCourt,0.9366666666666666
False,2018,DeMarcus Cousins,22.6,1.5,3.2,4.7,0.13,1.9,3.6,5.5,3.3,0.44295036514340064,0.7452468859905409,FrontCourt,0.046666666666666634
False,2018,Robert Covington,12.9,1.6,4.5,6.1,0.11599999999999999,0.4,2.1,2.5,2.9,0.4218325945484218,0.7097170523716533,FrontCourt,0.06333333333333335
False,2018,Allen Crabbe,12.3,1.8,1.4,3.2,0.07,0.4,-1.2,-0.8,0.7,0.3654785079601405,0.6149034776516918,BackCourt,0.15416666666666667
False,2018,Torrey Craig,9.8,0.5,0.4,0.9,0.069,-1.7,-0.8,-2.5,-0.1,0.20571707693559046,0.3461110387203153,FrontCourt,0.6666666666666667
False,2018,Jamal Crawford,13.0,0.9,0.3,1.3,0.037000000000000005,0.0,-4.0,-3.9,-0.8,0.3282107664888307,0.5522019416220225,BackCourt,0.2833333333333333
