Year,Team,Starter,Player,Tm,MP,FG,FGA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%
1986,WEST,0,Clyde Drexler,POR,15:00,5,7,0,1,0,0,0,4,4,4,3,1,3,3,10,0.714,0,
1986,WEST,0,Hakeem Olajuwon,HOU,15:00,1,8,0,0,1,2,1,4,5,0,1,2,1,3,3,0.125,,0.5
1986,WEST,0,Artis Gilmore,SAS,13:00,3,4,0,0,4,4,1,1,2,1,2,0,0,4,10,0.75,,1
1986,WEST,0,Marques Johnson,LAC,13:00,3,6,0,0,0,0,2,1,3,2,0,0,1,3,6,0.5,,
1987,WEST,1,Magic Johnson,LAL,34:00:00,4,10,0,0,1,2,1,6,7,13,4,0,1,2,9,0.4,,0.5
1987,WEST,1,Tom Chambers,SEA,29:00:00,13,25,2,3,6,9,3,1,4,2,4,0,3,5,34,0.52,0.667,0.667
1987,WEST,1,James Worthy,LAL,29:00:00,10,14,0,0,2,2,6,2,8,3,1,0,2,3,22,0.714,,1
1987,WEST,1,Hakeem Olajuwon,HOU,26:00:00,2,6,0,0,6,8,4,9,13,2,0,3,1,6,10,0.333,,0.75
1987,WEST,1,Alvin Robertson,SAS,16:00,2,5,0,0,2,2,2,0,2,1,0,0,1,1,6,0.4,,1
1987,WEST,0,Kareem Abdul-Jabbar,LAL,27:00:00,4,9,0,0,2,2,2,6,8,3,0,2,1,5,10,0.444,,1
1987,WEST,0,Rolando Blackman,DAL,22:00,9,15,0,0,11,13,1,3,4,1,0,0,2,2,29,0.6,,0.846
1987,WEST,0,Sleepy Floyd,GSW,19:00,4,7,1,3,5,7,2,3,5,1,1,0,2,2,14,0.571,0.333,0.714
1987,WEST,0,Joe Barry Carroll,GSW,18:00,1,7,0,0,2,2,4,2,6,0,0,1,1,4,4,0.143,,1
1987,WEST,0,Mark Aguirre,DAL,17:00,3,6,1,2,2,3,1,1,2,1,0,0,2,1,9,0.5,0.5,0.667
1987,WEST,0,Walter Davis,PHO,15:00,3,12,1,1,0,0,2,0,2,1,0,0,0,0,7,0.25,1,
1987,WEST,0,Alex English,DEN,13:00,0,6,0,0,0,0,0,0,0,1,0,0,2,1,0,0,,
1987,EAST,1,Moses Malone,WSB,35:00:00,11,19,0,0,5,6,7,11,18,2,2,1,1,4,27,0.579,,0.833
1987,EAST,1,Larry Bird,BOS,35:00:00,7,18,0,3,4,4,2,4,6,5,2,0,2,5,18,0.389,0,1
1987,EAST,1,Julius Erving,PHI,33:00:00,9,13,1,1,3,3,3,1,4,5,1,1,2,3,22,0.692,1,1
1987,EAST,1,Michael Jordan,CHI,28:00:00,5,12,0,1,1,2,0,0,0,4,2,0,5,2,11,0.417,0,0.5
1987,EAST,1,Dominique Wilkins,ATL,24:00:00,3,9,0,0,4,7,3,2,5,1,0,1,2,2,10,0.333,,0.571
1987,EAST,0,Kevin McHale,BOS,30:00:00,7,11,0,0,2,2,4,3,7,2,0,4,0,5,16,0.636,,1
1987,EAST,0,Isiah Thomas,DET,24:00:00,4,6,0,0,8,9,2,1,3,9,0,0,5,3,16,0.667,,0.889
1987,EAST,0,Charles Barkley,PHI,16:00,2,6,0,2,3,6,1,3,4,1,1,0,0,2,7,0.333,0,0.5
1987,EAST,0,Jeff Malone,WSB,13:00,3,5,0,1,0,0,1,1,2,2,0,0,1,1,6,0.6,0,
1987,EAST,0,Bill Laimbeer,DET,11:00,4,7,0,0,0,0,0,2,2,1,1,0,0,2,8,0.571,,
